parcelid,assessmentyear,roomcnt,regionidzip,rawcensustractandblock,bedroomcnt,calculatedfinishedsquarefeet,propertylandusetypeid,regionidcounty,taxvaluedollarcnt,longitude,latitude,bathroomcnt,taxamount,fips,propertycountylandusecode,structuretaxvaluedollarcnt
11824947,2015.0,0.0,96044.0,60375310.0,0.0,2086.0,31.0,3101.0,364299.0,-118.18815,34.040253,0.0,6196.0,6037.0,1210,101787.0
12371547,2015.0,0.0,96003.0,60375324.0,0.0,1902.0,31.0,3101.0,43607.0,-118.14608,34.01416,0.0,1028.0,6037.0,1210,26495.0
17078692,2015.0,0.0,97083.0,61110020.0,0.0,1500.0,246.0,2061.0,331202.0,-119.254585,34.27743,0.0,3568.0,6111.0,1210,101018.0
17107796,2015.0,8.0,97084.0,61110012.0,4.0,1721.0,261.0,2061.0,505000.0,-119.14971,34.276928,2.0,5338.0,6111.0,1111,177000.0
17144980,2015.0,8.0,97107.0,61110028.0,5.0,2194.0,261.0,2061.0,322202.0,-119.197556,34.222435,2.0,3869.0,6111.0,1111,193323.0
17181393,2015.0,6.0,97104.0,61110050.0,4.0,1180.0,261.0,2061.0,141323.0,-119.149605,34.174107,2.0,1678.0,6111.0,1111,91865.0
17206763,2015.0,6.0,97097.0,61110076.0,3.0,1346.0,261.0,2061.0,232958.0,-118.85029,34.29924,2.0,2576.0,6111.0,1111,151430.0
17207670,2015.0,8.0,97097.0,61110076.0,4.0,2531.0,261.0,2061.0,479553.0,-118.836975,34.304905,3.0,5261.0,6111.0,1111,287733.0
17255079,2015.0,8.0,97118.0,61110080.0,4.0,2015.0,261.0,2061.0,371468.0,-118.749695,34.276283,2.0,4399.0,6111.0,1111,215394.0
17303219,2015.0,0.0,97099.0,61110012.0,0.0,1056.0,263.0,2061.0,0.0,-119.274284,34.451553,0.0,0.0,6111.0,1118,0.0
17310389,2015.0,0.0,97097.0,61110076.0,0.0,1344.0,263.0,2061.0,12647.0,-118.82912,34.288536,0.0,61.0,6111.0,1118,12647.0
10771929,2015.0,0.0,96341.0,60371340.0,4.0,1735.0,261.0,3101.0,292682.0,-118.58454,34.202827,2.0,3691.0,6037.0,0100,153019.0
10782993,2015.0,0.0,96364.0,60371332.0,4.0,1540.0,261.0,3101.0,297289.0,-118.546814,34.184307,1.0,3753.0,6037.0,0100,178378.0
10823737,2015.0,0.0,96414.0,60371270.0,1.0,640.0,261.0,3101.0,309000.0,-118.452,34.208748,1.0,3918.0,6037.0,0100,71000.0
10868471,2015.0,0.0,96426.0,60371396.0,3.0,2351.0,261.0,3101.0,613065.0,-118.4951,34.133865,3.0,7810.0,6037.0,0101,367841.0
10882733,2015.0,0.0,96451.0,60371230.0,3.0,936.0,261.0,3101.0,182604.0,-118.40842,34.191322,1.0,2248.0,6037.0,0100,71735.0
10885477,2015.0,0.0,96410.0,60371236.0,4.0,1960.0,261.0,3101.0,254542.0,-118.4252,34.19117,3.0,3185.0,6037.0,0101,116662.0
10922121,2015.0,0.0,96375.0,60371020.0,2.0,1169.0,261.0,3101.0,271725.0,-118.35096,34.21254,1.0,3811.0,6037.0,0101,138580.0
10968731,2015.0,0.0,96368.0,60371070.0,4.0,1130.0,261.0,3101.0,282974.0,-118.44628,34.302067,2.0,3567.0,6037.0,0100,156376.0
11022692,2015.0,0.0,96361.0,60371050.0,2.0,969.0,261.0,3101.0,43604.0,-118.42234,34.256935,1.0,576.0,6037.0,0100,27721.0
11071288,2015.0,0.0,96346.0,60371132.0,4.0,1922.0,261.0,3101.0,495689.0,-118.586525,34.26569,2.0,6258.0,6037.0,0101,206377.0
11147039,2015.0,0.0,96401.0,60379108.0,3.0,2023.0,261.0,3101.0,316440.0,-118.400024,34.43328,2.0,4433.0,6037.0,0100,225308.0
11251594,2015.0,0.0,97344.0,60379000.0,3.0,1402.0,261.0,3101.0,43893.0,-117.83153,34.605022,2.0,665.0,6037.0,0100,33443.0
11267114,2015.0,0.0,97319.0,60379012.0,3.0,936.0,261.0,3101.0,110856.0,-118.19952,34.66409,1.0,2010.0,6037.0,0100,74228.0
11300125,2015.0,0.0,97318.0,60379004.0,3.0,1551.0,261.0,3101.0,171764.0,-118.078156,34.675465,2.0,2434.0,6037.0,0100,128823.0
11388994,2015.0,0.0,96037.0,60377030.0,4.0,2366.0,246.0,3101.0,109959.0,-118.36137,33.986008,2.0,2316.0,6037.0,0200,47383.0
11401919,2015.0,0.0,96134.0,60376012.0,1.0,1091.0,266.0,3101.0,133250.0,-118.37,33.9727,2.0,1986.0,6037.0,010C,106600.0
11426966,2015.0,0.0,96107.0,60376028.0,3.0,1447.0,261.0,3101.0,58611.0,-118.31856,33.92804,2.0,937.0,6037.0,0100,32116.0
11463137,2015.0,0.0,96129.0,60372770.0,5.0,5102.0,247.0,3101.0,850287.0,-118.444115,33.960735,7.0,10694.0,6037.0,0300,298926.0
11494881,2015.0,0.0,96124.0,60376210.0,3.0,2060.0,266.0,3101.0,572407.0,-118.379745,33.866398,3.0,7105.0,6037.0,010C,212089.0
11635380,2015.0,0.0,96050.0,60377004.0,5.0,2277.0,247.0,3101.0,508717.0,-118.387054,34.08836,3.0,7362.0,6037.0,0300,182616.0
11641963,2015.0,0.0,96086.0,60372612.0,2.0,2408.0,261.0,3101.0,1986954.0,-118.43022,34.088192,3.0,24353.0,6037.0,0100,722606.0
11645290,2015.0,0.0,96058.0,60372620.0,5.0,6987.0,261.0,3101.0,3150303.0,-118.43953,34.088844,7.0,38896.0,6037.0,0101,1801537.0
11708909,2015.0,0.0,96043.0,60372316.0,2.0,1345.0,261.0,3101.0,43047.0,-118.31369,34.007496,2.0,618.0,6037.0,0100,21857.0
11738339,2015.0,0.0,96015.0,60372704.0,4.0,2494.0,248.0,3101.0,752466.0,-118.378815,34.035866,4.0,9447.0,6037.0,0400,139343.0
11821885,2015.0,0.0,96044.0,60375310.0,3.0,908.0,246.0,3101.0,139620.0,-118.17612,34.043,2.0,2574.0,6037.0,0200,42960.0
11822870,2015.0,0.0,96044.0,60375308.0,1.0,744.0,261.0,3101.0,83297.0,-118.17952,34.05293,1.0,1587.0,6037.0,0100,41057.0
11839773,2015.0,0.0,96496.0,60374820.0,3.0,1681.0,261.0,3101.0,96038.0,-118.15547,34.05969,2.0,1465.0,6037.0,0100,61994.0
11877157,2015.0,0.0,96013.0,60372012.0,4.0,2104.0,261.0,3101.0,188355.0,-118.15963,34.098175,2.0,2451.0,6037.0,0100,110793.0
11897983,2015.0,0.0,96531.0,60374810.0,3.0,1211.0,266.0,3101.0,397386.0,-118.135,34.0893,3.0,4789.0,6037.0,010C,135110.0
11918220,2015.0,0.0,96515.0,60374816.0,2.0,1376.0,261.0,3101.0,562000.0,-118.08832,34.08431,2.0,8045.0,6037.0,0100,113000.0
11924916,2015.0,0.0,96514.0,60374800.0,2.0,1342.0,266.0,3101.0,195010.0,-118.071625,34.12104,3.0,2597.0,6037.0,010C,146932.0
11928549,2015.0,0.0,96514.0,60374800.0,5.0,3098.0,261.0,3101.0,1080209.0,-118.07887,34.111225,5.0,12628.0,6037.0,0100,432083.0
11951769,2015.0,0.0,96020.0,60371870.0,3.0,1935.0,261.0,3101.0,637886.0,-118.25319,34.103584,1.0,7801.0,6037.0,0100,115976.0
11969399,2015.0,0.0,96022.0,60371860.0,2.0,1064.0,261.0,3101.0,171858.0,-118.221306,34.12874,1.0,2132.0,6037.0,0100,76109.0
11975437,2015.0,0.0,96293.0,60374640.0,2.0,1985.0,261.0,3101.0,489147.0,-118.17831,34.13062,2.0,5928.0,6037.0,0100,195657.0
11985389,2015.0,0.0,96029.0,60372148.0,3.0,1645.0,261.0,3101.0,371796.0,-118.371925,34.0676,1.0,4621.0,6037.0,0100,162235.0
11989811,2015.0,0.0,95985.0,60372116.0,4.0,2412.0,261.0,3101.0,1248064.0,-118.31587,34.07528,2.0,15294.0,6037.0,0100,183362.0
11993880,2015.0,0.0,95985.0,60371924.0,5.0,5128.0,261.0,3101.0,3714211.0,-118.3328,34.08012,4.0,45412.0,6037.0,0101,1113750.0
11994033,2015.0,0.0,95985.0,60371924.0,3.0,2060.0,261.0,3101.0,721617.0,-118.32712,34.080128,1.0,8960.0,6037.0,0100,187074.0
12199406,2015.0,0.0,95982.0,60375348.0,3.0,1620.0,246.0,3101.0,478819.0,-118.23632,33.972725,2.0,6617.0,6037.0,0200,172071.0
12207279,2015.0,0.0,96028.0,60372380.0,4.0,1906.0,261.0,3101.0,396000.0,-118.31066,33.965733,2.0,5647.0,6037.0,0100,111000.0
12212934,2015.0,0.0,95983.0,60372400.0,3.0,946.0,261.0,3101.0,163880.0,-118.25875,33.958977,2.0,2310.0,6037.0,0100,57235.0
12242150,2015.0,0.0,96025.0,60376028.0,3.0,1536.0,261.0,3101.0,172701.0,-118.29914,33.923683,2.0,2576.0,6037.0,0100,52737.0
12267258,2015.0,0.0,96092.0,60375412.0,2.0,861.0,261.0,3101.0,146262.0,-118.24269,33.914375,1.0,3110.0,6037.0,0100,55923.0
12272004,2015.0,0.0,96092.0,60375428.0,2.0,963.0,261.0,3101.0,244794.0,-118.23217,33.903767,1.0,4408.0,6037.0,0100,102609.0
12276140,2015.0,0.0,96090.0,60375424.0,3.0,1157.0,261.0,3101.0,32790.0,-118.239296,33.893795,1.0,911.0,6037.0,0100,19149.0
12304152,2015.0,0.0,96125.0,60375360.0,3.0,1437.0,246.0,3101.0,337510.0,-118.21089,33.947536,2.0,4579.0,6037.0,0200,91072.0
12305343,2015.0,0.0,96125.0,60375356.0,4.0,2277.0,246.0,3101.0,234902.0,-118.2051,33.95194,3.0,3345.0,6037.0,0200,146655.0
12306938,2015.0,0.0,96110.0,60375348.0,2.0,1407.0,261.0,3101.0,352545.0,-118.21206,33.97012,1.0,4851.0,6037.0,0100,128304.0
12310964,2015.0,0.0,96125.0,60375360.0,3.0,1734.0,261.0,3101.0,290537.0,-118.18766,33.94645,2.0,3947.0,6037.0,0100,132100.0
12311493,2015.0,0.0,96125.0,60375360.0,3.0,1506.0,261.0,3101.0,252595.0,-118.192795,33.936268,2.0,3396.0,6037.0,0100,124258.0
12330876,2015.0,0.0,96101.0,60375508.0,2.0,1614.0,261.0,3101.0,82774.0,-118.13802,33.947712,2.0,4019.0,6037.0,0100,46690.0
12334245,2015.0,0.0,96102.0,60375520.0,3.0,932.0,261.0,3101.0,253058.0,-118.12469,33.913982,1.0,3284.0,6037.0,0100,56875.0
12349646,2015.0,0.0,96101.0,60375510.0,9.0,3480.0,248.0,3101.0,674307.0,-118.12145,33.930096,5.0,8761.0,6037.0,0400,331237.0
12391847,2015.0,0.0,96197.0,60375004.0,2.0,852.0,261.0,3101.0,174529.0,-118.0727,34.00425,1.0,2519.0,6037.0,0100,68158.0
12394890,2015.0,0.0,96197.0,60375024.0,4.0,1220.0,261.0,3101.0,277783.0,-118.09867,33.97651,1.0,3732.0,6037.0,0100,79603.0
12400549,2015.0,0.0,96100.0,60375504.0,4.0,2224.0,261.0,3101.0,319952.0,-118.10299,33.95025,3.0,4058.0,6037.0,0100,208419.0
12436256,2015.0,0.0,96242.0,60375740.0,3.0,1285.0,261.0,3101.0,74407.0,-118.10152,33.82207,2.0,997.0,6037.0,0100,37310.0
12448324,2015.0,0.0,96239.0,60375704.0,2.0,985.0,261.0,3101.0,265000.0,-118.17861,33.878456,1.0,3590.0,6037.0,0100,103000.0
12474152,2015.0,0.0,96212.0,60375708.0,3.0,1219.0,261.0,3101.0,195499.0,-118.16291,33.847977,1.0,2645.0,6037.0,0100,78199.0
12484979,2015.0,0.0,96213.0,60375708.0,3.0,1082.0,261.0,3101.0,267869.0,-118.12336,33.84849,1.0,3480.0,6037.0,0100,94898.0
12485301,2015.0,0.0,96213.0,60375708.0,3.0,1176.0,261.0,3101.0,66455.0,-118.10946,33.85778,2.0,1084.0,6037.0,0100,45265.0
12542565,2015.0,0.0,96245.0,60375764.0,4.0,1497.0,261.0,3101.0,267866.0,-118.168655,33.78143,2.0,3289.0,6037.0,0100,107146.0
12543028,2015.0,0.0,96238.0,60375770.0,4.0,4408.0,248.0,3101.0,69309.0,-118.16055,33.778664,4.0,1395.0,6037.0,0400,44854.0
12554873,2015.0,0.0,96245.0,60375764.0,4.0,4012.0,248.0,3101.0,288850.0,-118.18713,33.77507,4.0,4023.0,6037.0,0400,141352.0
12571610,2015.0,0.0,96244.0,60375440.0,3.0,1026.0,261.0,3101.0,328219.0,-118.2227,33.831043,1.0,4509.0,6037.0,0100,120457.0
12604336,2015.0,0.0,96161.0,60376504.0,3.0,1354.0,261.0,3101.0,611691.0,-118.34175,33.836494,2.0,7198.0,6037.0,0100,189450.0
