parcelid,assessmentyear,roomcnt,regionidzip,rawcensustractandblock,bedroomcnt,calculatedfinishedsquarefeet,propertylandusetypeid,regionidcounty,taxvaluedollarcnt,longitude,latitude,bathroomcnt,taxamount,fips,propertycountylandusecode,structuretaxvaluedollarcnt,assessmentyear_nan,roomcnt_nan,regionidzip_nan,rawcensustractandblock_nan,bedroomcnt_nan,calculatedfinishedsquarefeet_nan,propertylandusetypeid_nan,regionidcounty_nan,taxvaluedollarcnt_nan,bathroomcnt_nan,taxamount_nan,fips_nan,structuretaxvaluedollarcnt_nan
11194682,3,0,379,401,3,1468,10,2,4774,-118.13107,34.610397,3,2114,0,010C,10830,0,0,0,0,0,0,0,0,0,0,0,0,0
11819097,3,0,29,98,3,684,6,2,749,-118.16798,34.07209,2,409,0,0100,1062,0,0,0,0,0,0,0,0,0,0,0,0,0
14480877,3,6,310,414,4,3351,6,0,21422,-117.5771,33.619816,3,7379,1,122,22437,0,0,0,0,0,0,0,0,0,0,0,0,0
11843882,3,0,259,282,0,3912,0,2,17845,-118.11028999999999,34.062862,0,7622,0,1210,16014,0,0,0,0,0,0,0,0,0,0,0,0,0
11184068,3,0,379,401,4,1363,6,2,11852,-118.186295,34.61949,3,4159,0,0101,12509,0,0,0,0,0,0,0,0,0,0,0,0,0
14334843,3,11,319,426,5,3296,6,0,22406,-117.791595,33.75339,4,9077,1,122,21271,0,0,0,0,0,0,0,0,0,0,0,0,0
14018545,3,7,347,427,4,818,6,0,1843,-117.89433999999999,33.789326,2,721,1,122,1368,0,0,0,0,0,0,0,0,0,0,0,0,0
12469808,3,0,133,343,3,860,6,2,17313,-118.157936,33.83587,1,5932,0,0104,7269,0,0,0,0,0,0,0,0,0,0,0,0,0
14064932,3,5,294,437,2,494,6,0,14361,-117.99049,33.684986,1,5544,1,122,4823,0,0,0,0,0,0,0,0,0,0,0,0,0
12361538,3,0,80,304,3,296,6,2,211,-118.234245,33.979774,1,472,0,0100,58,0,0,0,0,0,0,0,0,0,0,0,0,0
12527282,3,0,149,358,3,938,6,2,17565,-118.12165,33.7547,2,5253,0,0100,7592,0,0,0,0,0,0,0,0,0,0,0,0,0
12410422,3,0,129,336,5,2297,6,2,18995,-118.03953999999999,33.870865,4,5928,0,0100,20855,0,0,0,0,0,0,0,0,6,0,0,0,6
11256971,3,0,382,396,0,8,6,2,163,-117.76879,34.575394,0,179,0,0100,29,0,0,0,0,0,0,0,0,0,0,0,0,0
14346175,3,7,284,417,5,1745,6,0,21455,-117.77518,33.709057,2,7514,1,122,16222,0,0,0,0,0,0,0,0,0,0,0,0,0
14176617,3,6,349,412,3,802,6,0,9382,-117.86970500000001,33.882484000000005,2,2818,1,122,4670,0,0,0,0,0,0,0,0,0,0,0,0,0
14105428,3,5,328,429,3,1359,6,0,3898,-117.8909,33.82121,2,1293,1,122,5823,0,0,0,0,0,0,0,0,0,0,0,0,0
12458160,3,0,151,343,2,414,6,2,5978,-118.19168,33.84962,1,1724,0,0100,5031,0,0,0,0,0,0,0,0,0,0,0,0,0
10847386,3,0,229,44,1,515,10,2,8658,-118.445,34.1599,2,3830,0,010E,13652,0,0,0,0,0,6,0,0,0,0,6,0,6
11759540,3,0,9,149,2,251,6,2,1640,-118.26603999999999,33.991287,1,660,0,0100,575,0,0,0,0,0,0,0,0,0,0,0,0,0
13845243,3,4,321,423,3,634,6,0,14574,-117.8727,33.726048,2,3970,1,122,7382,0,0,0,0,0,0,0,0,0,0,0,0,0
14732060,3,0,307,416,3,1194,10,0,18435,-117.65185,33.492096000000004,2,5120,1,34,12902,0,0,0,0,0,0,0,0,0,0,0,0,0
12896967,3,0,257,236,3,864,12,2,5223,-117.75651599999999,34.10607,2,1556,0,010D,7169,0,0,0,0,0,0,0,0,0,0,0,0,0
11184155,3,0,379,401,3,1080,6,2,8245,-118.20752,34.618687,2,3972,0,0100,14780,0,0,0,0,0,0,0,0,0,0,0,0,0
11843650,3,0,259,282,4,1532,10,2,19377,-118.11486000000001,34.064236,4,6907,0,010C,18812,0,0,0,0,0,0,0,0,0,0,0,0,0
11615048,3,0,23,184,2,1142,10,2,17969,-118.439,34.0425,2,5571,0,010C,19807,0,0,0,0,0,0,0,0,0,0,0,0,0
10845203,3,0,223,43,2,684,10,2,3890,-118.446,34.1692,2,1136,0,010C,2759,0,0,0,0,0,0,0,0,0,0,0,0,0
12445283,3,0,131,336,3,1072,10,2,8474,-118.125,33.8805,2,2435,0,010C,6760,0,0,0,0,0,0,0,0,0,0,0,0,0
14297532,3,0,301,419,3,2406,6,0,23227,-117.86983500000001,33.634415000000004,3,9996,1,122,22069,0,0,0,0,0,0,0,0,0,0,0,0,0
12844469,3,0,256,254,4,1817,6,2,14151,-117.91425,33.987057,3,4116,0,0100,18074,0,0,0,0,0,0,0,0,0,0,0,0,0
10913390,3,0,238,64,1,699,6,2,16326,-118.40671,34.14924,2,4831,0,0101,14644,0,0,0,0,0,0,0,0,0,0,0,0,0
12464053,3,0,153,344,2,984,10,2,5579,-118.191,33.8301,2,1662,0,010C,10991,0,0,0,0,0,0,0,0,0,0,0,0,0
