parcelid,assessmentyear,roomcnt,regionidzip,rawcensustractandblock,bedroomcnt,calculatedfinishedsquarefeet,propertylandusetypeid,regionidcounty,taxvaluedollarcnt,longitude,latitude,bathroomcnt,taxamount,fips,propertycountylandusecode,structuretaxvaluedollarcnt
17267703,2015.0,7.0,96351.0,61110060.0,3.0,1959.0,261.0,2061.0,240325.0,-118935790.0,34183320.0,2.0,2549.54,6111.0,1111,181475.0
17075094,2015.0,0.0,97081.0,61110024.0,0.0,1904.0,246.0,2061.0,384948.0,-119299560.0,34284948.0,0.0,4144.5,6111.0,1210,104374.0
14050866,2015.0,7.0,96964.0,60590990.0,3.0,1494.0,261.0,1286.0,442728.0,-117956290.0,33672030.0,2.0,8432.58,6059.0,122,126079.0
14311267,2015.0,6.0,96947.0,60590628.0,3.0,1398.0,261.0,1286.0,463266.0,-117796700.0,33662508.0,2.0,4821.56,6059.0,122,111576.0
14196478,2015.0,0.0,97078.0,60590220.0,3.0,2183.0,261.0,1286.0,416281.0,-117777040.0,33895304.0,2.5,5132.7,6059.0,122,193854.0
13853610,2015.0,8.0,96186.0,60590012.0,3.0,2034.0,261.0,1286.0,332622.0,-117967260.0,33923056.0,2.5,3927.08,6059.0,122,135907.0
17256585,2015.0,6.0,97118.0,61110080.0,3.0,1229.0,261.0,2061.0,249287.0,-118742260.0,34267480.0,2.0,3099.94,6111.0,1111,149574.0
12423785,2015.0,0.0,96204.0,60375548.0,3.0,866.0,261.0,3101.0,141222.0,-118069300.0,33856844.0,2.0,1862.3,6037.0,0100,53317.0
11641963,2015.0,0.0,96086.0,60372612.0,2.0,2408.0,261.0,3101.0,1986954.0,-118430220.0,34088190.0,3.0,24353.42,6037.0,0100,722606.0
12298335,2015.0,0.0,96110.0,60375348.0,3.0,1782.0,261.0,3101.0,390000.0,-118219500.0,33965584.0,2.0,5328.74,6037.0,0101,163400.0
12858250,2015.0,0.0,96505.0,60374030.0,4.0,2072.0,261.0,3101.0,625010.0,-117835450.0,33984332.0,2.0,7435.88,6037.0,0101,274082.0
12731292,2015.0,0.0,96190.0,60375036.0,4.0,2029.0,261.0,3101.0,131126.0,-117997550.0,33920216.0,3.0,8194.51,6037.0,0100,85861.0
14634802,2015.0,0.0,96993.0,60590320.0,1.0,418.0,266.0,1286.0,196000.0,-117578610.0,33649464.0,1.0,2857.9,6059.0,34,37099.0
12731120,2015.0,0.0,96190.0,60375036.0,3.0,1064.0,261.0,3101.0,420000.0,-118013360.0,33924430.0,2.0,5827.38,6037.0,0100,101000.0
12023905,2015.0,0.0,96027.0,60371944.0,3.0,1834.0,261.0,3101.0,116849.0,-118388370.0,34111290.0,2.0,1557.04,6037.0,0100,65055.0
